event_key,evidence_grade,reason_modules,attribution_summary,source_basename,source_line,source_url,source_sha256,pre_state_summary,prior_market_summary,remaining_unknown
2018-09-03:110:01,C,valuation_region;batch_accumulation,平台两只A股腿之一与作者所称A股黄金/钻石区域买入背景相容但原文未点名该基金,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,30,https://youzhiyouxing.cn/materials/737?opinion_sort=new,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码3→4;大盘袖套12→13;现金代理单位45（非权重）,截至2018-08-31:R20+0.9%;R60-8.1%;R252-1.1%;DD252-17.5%;P252=6.0%,评价体系公式与该腿选择原因未知
2018-09-03:110:02,C,valuation_region;batch_accumulation,平台两只A股腿之一与作者所称A股黄金/钻石区域买入背景相容但原文未点名该基金,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,30,https://youzhiyouxing.cn/materials/737?opinion_sort=new,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码1→2;中盘袖套20→21;现金代理单位45（非权重）,截至2018-08-31:R20-2.2%;R60-11.4%;R252-13.6%;DD252-20.8%;P252=1.2%,评价体系公式与该腿选择原因未知
2018-09-04:111:01,D,tool_availability;clock_constraint;valuation_risk,作者点名历史代码164906并说明美国休市导致QDII暂停申购所以晚于A股腿处理,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,30,https://youzhiyouxing.cn/materials/737?opinion_sort=new,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码0→1;海外互联网袖套0→1;现金代理单位43（非权重）,截至2018-09-03:R20-6.3%;R60-15.8%;R252-3.8%;DD252-17.3%;P252=2.8%,真实申购恢复时刻/确认净值/买入阈值未知
2018-09-21:113:01,C,right_side_buy;valuation_compatibility,作者把该期两份称为不违背价值框架的右侧买入但原文未点名上证50,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,31,https://youzhiyouxing.cn/materials/664?opinion_sort=new,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码8→9;大盘袖套13→14;现金代理单位41（非权重）,截至2018-09-20:R20+1.2%;R60+1.5%;R252-4.9%;DD252-19.3%;P252=20.2%,右侧定义/趋势指标/该腿选择原因未知
2018-09-21:113:02,C,right_side_buy;valuation_compatibility,作者把该期两份称为不违背价值框架的右侧买入但原文未点名金融地产,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,31,https://youzhiyouxing.cn/materials/664?opinion_sort=new,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码2→3;金融袖套5→6;现金代理单位41（非权重）,截至2018-09-20:R20+2.4%;R60+2.4%;R252-13.5%;DD252-23.6%;P252=21.8%,右侧定义/趋势指标/该腿选择原因未知
2018-09-28:114:01,C,cycle;small_cap_trading_value;batch_accumulation,作者讨论周期/小盘交易价值和仍不够便宜且平台该腿为创业板但原文未逐腿点名,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,32,https://youzhiyouxing.cn/materials/686?opinion_sort=hot,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码1→2;成长袖套2→3;现金代理单位39（非权重）,截至2018-09-27:R20-4.8%;R60-9.4%;R252-22.0%;DD252-24.0%;P252=4.0%,小盘定义/估值方法/具体映射未知
2018-09-28:114:02,C,cycle;valuation_region;batch_accumulation,作者讨论周期和仍不够便宜且平台同日买沪深300但原文未逐腿点名,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,32,https://youzhiyouxing.cn/materials/686?opinion_sort=hot,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码4→5;大盘袖套14→15;现金代理单位39（非权重）,截至2018-09-27:R20+0.7%;R60+2.7%;R252-2.5%;DD252-15.8%;P252=19.4%,估值方法/该腿选择原因未知
2018-09-28:114:03,A,unspecified_strategy,题名与平台只确认同日买入可转债一单位;页面的小盘论述不能归给债券腿,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,32,https://youzhiyouxing.cn/materials/686?opinion_sort=hot,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码2→3;可转债袖套2→3;现金代理单位39（非权重）,截至2018-09-27:R20-1.5%;R60+0.6%;R252-6.7%;DD252-15.0%;P252=7.9%,债券腿触发/配置目标/资金用途未知
2018-10-15:116:01,C,valuation_region;batch_accumulation,作者说明钻石底是区域而非点且同日平台买环保但原文未逐腿点名,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,33,https://youzhiyouxing.cn/materials/737?opinion_sort=new,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码8→9;环保袖套8→9;现金代理单位35（非权重）,截至2018-10-12:R20-9.7%;R60-17.3%;R252-39.6%;DD252-42.2%;P252=0.4%,钻石区公式/极端预期权重/该腿选择原因未知
2018-10-15:116:02,C,valuation_region;batch_accumulation,作者说明钻石底是区域而非点且同日平台买医药但原文未逐腿点名,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,33,https://youzhiyouxing.cn/materials/737?opinion_sort=new,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码9→10;医药袖套9→10;现金代理单位35（非权重）,截至2018-10-12:R20-8.1%;R60-21.6%;R252-13.8%;DD252-28.9%;P252=0.8%,钻石区公式/极端预期权重/该腿选择原因未知
2018-10-15:116:03,C,valuation_region;batch_accumulation,作者说明钻石底是区域而非点且同日平台买券商但原文未逐腿点名,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,33,https://youzhiyouxing.cn/materials/737?opinion_sort=new,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码3→4;金融袖套6→7;现金代理单位35（非权重）,截至2018-10-12:R20-9.4%;R60-13.2%;R252-41.3%;DD252-41.8%;P252=0.4%,钻石区公式/极端预期权重/该腿选择原因未知
2018-10-30:117:01,C,valuation_region;batch_accumulation,作者以钻石底说明整体语境且平台同日买养老指数但原文未逐腿点名,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,34,https://youzhiyouxing.cn/materials/737?opinion_sort=new,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码9→10;养老袖套9→10;现金代理单位32（非权重）,截至2018-10-29:R20-12.1%;R60-21.8%;R252-27.3%;DD252-31.0%;P252=0.8%,评价体系/该腿选择原因未知
2018-10-30:117:02,C,valuation_region;batch_accumulation,作者以钻石底说明整体语境且平台同日买沪深300但原文未逐腿点名,E大_2018钻石底_公开发车片段与存档分层_来源合同.md,34,https://youzhiyouxing.cn/materials/737?opinion_sort=new,7302980ab65c296ed404b20cda3ba1fabd4142d1d3030ccddc62e0fff73443e5,代码5→6;大盘袖套15→16;现金代理单位32（非权重）,截至2018-10-29:R20-8.8%;R60-10.6%;R252-13.1%;DD252-23.1%;P252=0.8%,评价体系/该腿选择原因未知
